System Current (A)_x,System Current (A)_y,System Voltage (V)_x,System Voltage (V)_y,3.3V Current (A)_x,3.3V Current (A)_y,5V Current (A)_x,5V Current (A)_y,12V Current (A)_x,12V Current (A)_y
16.3045678139,0.,16.3045678139,15.423,16.3045678139,32.234,16.3045678139,5.372,16.3045678139,8.059
16.3436119556,0.,16.3436119556,15.363,16.3436119556,96.703,16.3436119556,5.372,16.3436119556,5.372
16.3442077637,0.,16.3442077637,15.542,16.3442077637,37.607,16.3442077637,5.372,16.3442077637,5.372
16.3446049690,0.,16.3446049690,15.49,16.3446049690,48.352,16.3446049690,5.372,16.3446049690,5.372
16.3449978828,0.,16.3449978828,15.453,16.3449978828,45.665,16.3449978828,5.372,16.3449978828,8.059
16.3831911087,0.,16.3831911087,15.46,16.3831911087,42.979,16.3831911087,5.372,16.3831911087,5.372
16.3837668896,0.,16.3837668896,15.475,16.3837668896,45.665,16.3837668896,5.372,16.3837668896,8.059
16.3841626644,0.,16.3841626644,15.408,16.3841626644,45.665,16.3841626644,5.372,16.3841626644,8.059
16.3845419884,0.,16.3845419884,15.564,16.3845419884,69.841,16.3845419884,5.372,16.3845419884,5.372
16.434252739,0.,16.434252739,15.438,16.434252739,32.234,16.434252739,5.372,16.434252739,8.059
16.4348218441,0.,16.4348218441,15.393,16.4348218441,56.41,16.4348218441,5.372,16.4348218441,8.059
16.4352347851,0.,16.4352347851,15.542,16.4352347851,118.193,16.4352347851,5.372,16.4352347851,10.745
16.4635200500,0.,16.4635200500,15.512,16.4635200500,42.979,16.4635200500,5.372,16.4635200500,8.059
16.4640457630,0.,16.4640457630,15.46,16.4640457630,42.979,16.4640457630,5.372,16.4640457630,8.059
16.4644439220,0.,16.4644439220,15.438,16.4644439220,48.352,16.4644439220,2.686,16.4644439220,5.372
16.4648168087,0.,16.4648168087,15.423,16.4648168087,40.293,16.4648168087,5.372,16.4648168087,8.059
16.4651868343,0.,16.4651868343,15.535,16.4651868343,53.724,16.4651868343,5.372,16.4651868343,8.059
16.5034308434,0.,16.5034308434,15.512,16.5034308434,48.352,16.5034308434,5.372,16.5034308434,2.686
16.5039989948,0.,16.5039989948,15.505,16.5039989948,45.665,16.5039989948,5.372,16.5039989948,8.059
16.5044088364,0.,16.5044088364,15.408,16.5044088364,96.703,16.5044088364,5.372,16.5044088364,8.059
16.5047969818,0.,16.5047969818,15.512,16.5047969818,26.862,16.5047969818,5.372,16.5047969818,8.059
16.5436029434,0.,16.5436029434,15.415,16.5436029434,45.665,16.5436029434,5.372,16.5436029434,5.372
16.544110775,0.,16.544110775,15.505,16.544110775,42.979,16.544110775,5.372,16.544110775,5.372
16.544479847,0.,16.544479847,15.475,16.544479847,32.234,16.544479847,5.372,16.544479847,8.059
16.5448398590,0.,16.5448398590,15.438,16.5448398590,34.921,16.5448398590,5.372,16.5448398590,5.372
16.5832667351,0.,16.5832667351,15.415,16.5832667351,72.527,16.5832667351,5.372,16.5832667351,2.686
16.5838017464,0.,16.5838017464,15.467,16.5838017464,24.176,16.5838017464,5.372,16.5838017464,5.372
16.5842139721,0.,16.5842139721,15.423,16.5842139721,21.49,16.5842139721,5.372,16.5842139721,0.
16.5845928192,0.,16.5845928192,15.505,16.5845928192,42.979,16.5845928192,5.372,16.5845928192,8.059
16.6234927177,0.,16.6234927177,15.453,16.6234927177,26.862,16.6234927177,5.372,16.6234927177,8.059
16.6240668297,0.,16.6240668297,15.497,16.6240668297,32.234,16.6240668297,5.372,16.6240668297,8.059
16.6244170666,0.,16.6244170666,15.453,16.6244170666,32.234,16.6244170666,5.372,16.6244170666,8.059
16.6636478901,0.,16.6636478901,15.527,16.6636478901,45.665,16.6636478901,5.372,16.6636478901,5.372
16.6641657352,0.,16.6641657352,15.423,16.6641657352,37.607,16.6641657352,5.372,16.6641657352,8.059
16.6645228863,0.,16.6645228863,15.505,16.6645228863,45.665,16.6645228863,5.372,16.6645228863,8.059
16.6648778915,0.,16.6648778915,15.423,16.6648778915,85.958,16.6648778915,5.372,16.6648778915,8.059
16.7027378082,0.,16.7027378082,15.453,16.7027378082,29.548,16.7027378082,5.372,16.7027378082,8.059
16.7032458782,0.,16.7032458782,15.408,16.7032458782,110.134,16.7032458782,5.372,16.7032458782,8.059
16.703609705,0.,16.703609705,15.52,16.703609705,45.665,16.703609705,5.372,16.703609705,5.372
16.7039690018,0.,16.7039690018,15.438,16.7039690018,34.921,16.7039690018,5.372,16.7039690018,5.372
16.7435808182,0.,16.7435808182,15.564,16.7435808182,48.352,16.7435808182,5.372,16.7435808182,8.059
16.7441289425,0.,16.7441289425,15.423,16.7441289425,56.41,16.7441289425,8.059,16.7441289425,8.059
16.7444937229,0.,16.7444937229,15.356,16.7444937229,48.352,16.7444937229,5.372,16.7444937229,5.372
16.7448508739,0.,16.7448508739,15.505,16.7448508739,32.234,16.7448508739,5.372,16.7448508739,8.059
16.7827718258,0.,16.7827718258,15.415,16.7827718258,118.193,16.7827718258,5.372,16.7827718258,8.059
16.7832288742,0.,16.7832288742,15.497,16.7832288742,32.234,16.7832288742,2.686,16.7832288742,8.059
16.7835657597,0.,16.7835657597,15.512,16.7835657597,34.921,16.7835657597,5.372,16.7835657597,8.059
16.7839570045,0.,16.7839570045,15.445,16.7839570045,32.234,16.7839570045,5.372,16.7839570045,5.372
16.8227567673,0.,16.8227567673,15.564,16.8227567673,42.979,16.8227567673,5.372,16.8227567673,5.372
16.8232619762,0.,16.8232619762,15.505,16.8232619762,45.665,16.8232619762,5.372,16.8232619762,8.059
16.8236379623,0.,16.8236379623,15.467,16.8236379623,26.862,16.8236379623,8.059,16.8236379623,8.059
16.8239967823,0.,16.8239967823,15.505,16.8239967823,42.979,16.8239967823,8.059,16.8239967823,8.059
